URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-14-ft-18-ft-electric-powered,300-1500,Aerial Work Platforms,Scissor Lifts,$168 ,$338 ,$699 ,$168.00 ,$173.00 ,$173.00 ,$3.36 ,$26.79 ,$544.15 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-18-ft-19-ft-electric-powered,300-1999,Aerial Work Platforms,Scissor Lifts,$167 ,$337 ,$757 ,$167.00 ,$173.00 ,$173.00 ,$3.34 ,$26.71 ,$543.05 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-19-ft-electric-powered,300-2000,Aerial Work Platforms,Scissor Lifts,$174 ,$339 ,$700 ,$174.00 ,$173.00 ,$173.00 ,$3.48 ,$27.27 ,$550.75 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-20-ft-21-ft-electric-powered-power-deck-extension,300-2003,Aerial Work Platforms,Scissor Lifts,$200 ,$401 ,$889 ,$200.00 ,$237.17 ,$237.17 ,$4.00 ,$34.31 ,$712.65 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-24-ft-26-ft-electric,300-2514,Aerial Work Platforms,Scissor Lifts,$212 ,$427 ,"$1,053 ",$212.00 ,$177.50 ,$177.50 ,$4.24 ,$30.64 ,$601.88 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-24-ft-26-ft-electric-powered,300-2515,Aerial Work Platforms,Scissor Lifts,$248 ,$500 ,"$1,083 ",$248.00 ,$173.00 ,$173.00 ,$4.96 ,$33.15 ,$632.11 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-24-ft-26-ft-electric-powered-wide,300-2525,Aerial Work Platforms,Scissor Lifts,$286 ,$609 ,"$1,198 ",$286.00 ,$173.00 ,$173.00 ,$5.72 ,$36.19 ,$673.91 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-25-ft-27-ft-4wd-gas-or-diesel-power-available,300-2551,Aerial Work Platforms,Scissor Lifts,$410 ,$825 ,"$1,676 ",$410.00 ,$173.00 ,$173.00 ,$8.20 ,$46.07 ,$810.27 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-30-ft-33-ft-electric-powered,300-2995,Aerial Work Platforms,Scissor Lifts,$327 ,$723 ,"$1,750 ",$327.00 ,$173.00 ,$173.00 ,$6.54 ,$39.45 ,$718.99 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-30-ft-35-ft-4wd-electric-powered,300-3045,Aerial Work Platforms,Scissor Lifts,$428 ,$905 ,"$1,947 ",$428.00 ,$237.17 ,$237.17 ,$8.56 ,$52.46 ,$963.36 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-30-ft-35-ft-4wd-gas-or-diesel-power-available,300-3051,Aerial Work Platforms,Scissor Lifts,$468 ,$946 ,"$2,263 ",$468.00 ,$173.00 ,$173.00 ,$9.36 ,$50.68 ,$874.04 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-30-ft-35-ft-electric-powered,300-2999,Aerial Work Platforms,Scissor Lifts,$327 ,$723 ,"$1,750 ",$327.00 ,$173.00 ,$173.00 ,$6.54 ,$39.45 ,$718.99 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-36-ft-49-ft-4wd-gas-or-diesel-power-available,300-4051,Aerial Work Platforms,Scissor Lifts,$548 ,"$1,106 ","$2,720 ",$548.00 ,$173.00 ,$173.00 ,$10.96 ,$57.05 ,$962.01 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-39-ft-40-ft-electric-powered,300-4000,Aerial Work Platforms,Scissor Lifts,$410 ,$863 ,"$2,268 ",$410.00 ,$173.00 ,$173.00 ,$8.20 ,$46.07 ,$810.27 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-39-ft-40-ft-electric-powered-wide,300-4047,Aerial Work Platforms,Scissor Lifts,$432 ,$907 ,"$2,558 ",$432.00 ,$177.50 ,$177.50 ,$8.64 ,$48.16 ,$843.80 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-50-ft-60-ft-4wd-gas-or-diesel-power-available,300-5050,Aerial Work Platforms,Scissor Lifts,$636 ,"$1,343 ","$2,728 ",$636.00 ,$173.00 ,$173.00 ,$12.72 ,$64.06 ,"$1,058.78 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-60-ft-70-ft-4wd-gas-or-diesel-power-available,300-5060,Aerial Work Platforms,Scissor Lifts,$607 ,"$1,280 ","$3,128 ",$607.00 ,$241.67 ,$241.67 ,$12.14 ,$67.06 ,"$1,169.54 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-10-ft-300-lb-capacity,290-9415,Aerial Work Platforms,Ladders,$26 ,$53 ,$131 ,$26.00 ,$165.00 ,$165.00 ,,$14.82 ,$370.82 
,,,,,,,,,,,,
